plate.id,substrates,Class,Time.h,Species,OD590
G7,Alpha-Ketobutyric acid,Carboxylic acids,60,P.copri,0.306
H7,D-Malic acid,Carboxylic acids,60,P.copri,0.412
A8,L-Arginine,Amino acids,60,P.copri,0.302
B8,L-Asparagine,Amino acids,60,P.copri,0.277
C8,L-Phenylalanine,Amino acids,60,P.copri,0.29
D8,L-Serine,Amino acids,60,P.copri,0.287
E8,L-Threonine,Amino acids,60,P.copri,0.292
F8,Glycyl-L-glutamic Acid,Amino acids,60,P.copri,0.308
G8,Phenethylamine,Amines,60,P.copri,0.304
H8,Putrescine,Amines,60,P.copri,0.303
A9,Water,Water,60,P.copri,0.283
B9,Methyl pyruvate,Carboxylic acids,60,P.copri,0.388
C9,Tween 40,Polymers,60,P.copri,0.29
D9,Tween 80,Polymers,60,P.copri,0.262
E9,Alpha-Cyclodextrin,Polymers,60,P.copri,0.348
F9,Glycogen,Polymers,60,P.copri,0.328
G9,D-Cellobiose,Carbohydrates,60,P.copri,0.344
H9,Alpha-D-Lactose,Carbohydrates,60,P.copri,0.463
A10,Beta-Methyl-D-Glucoside,Carbohydrates,60,P.copri,0.262
B10,D-Xylose,Carbohydrates,60,P.copri,0.426
C10,I-Erythritol,Carbohydrates,60,P.copri,0.281
D10,D-Mannitol,Carbohydrates,60,P.copri,0.298
E10,N-Acetyl-D-glucosamine,Carbohydrates,60,P.copri,0.305
F10,D-Glucosaminic acid,Carboxylic acids,60,P.copri,0.313
G10,Glucose-1-Phosphate,Carbohydrates,60,P.copri,0.33
H10,Alpha-Glycerol-Phosphate,Carbohydrates,60,P.copri,0.305
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,60,P.copri,0.279
B11,D-Galacturonic acid,Carboxylic acids,60,P.copri,0.317
C11,2-Hydroxybenzoic Acid,Phenolic acids,60,P.copri,0.319
D11,4-Hydroxybenzoic acid,Phenolic acids,60,P.copri,0.302
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,60,P.copri,0.306
F11,Itaconic acid,Carboxylic acids,60,P.copri,0.312
G11,Alpha-Ketobutyric acid,Carboxylic acids,60,P.copri,0.32
H11,D-Malic acid,Carboxylic acids,60,P.copri,0.444
A12,L-Arginine,Amino acids,60,P.copri,0.336
B12,L-Asparagine,Amino acids,60,P.copri,0.283
C12,L-Phenylalanine,Amino acids,60,P.copri,0.277
D12,L-Serine,Amino acids,60,P.copri,0.29
E12,L-Threonine,Amino acids,60,P.copri,0.278
F12,Glycyl-L-glutamic Acid,Amino acids,60,P.copri,0.287
G12,Phenethylamine,Amines,60,P.copri,0.296
H12,Putrescine,Amines,60,P.copri,0.339
A1,Water,Water,72,P.copri,0.224
B1,Methyl pyruvate,Carboxylic acids,72,P.copri,0.309
C1,Tween 40,Polymers,72,P.copri,0.289
D1,Tween 80,Polymers,72,P.copri,0.24
E1,Alpha-Cyclodextrin,Polymers,72,P.copri,0.28
F1,Glycogen,Polymers,72,P.copri,0.283
G1,D-Cellobiose,Carbohydrates,72,P.copri,0.302
H1,Alpha-D-Lactose,Carbohydrates,72,P.copri,0.404
A2,Beta-Methyl-D-Glucoside,Carbohydrates,72,P.copri,0.25
B2,D-Xylose,Carbohydrates,72,P.copri,0.333
C2,I-Erythritol,Carbohydrates,72,P.copri,0.238
D2,D-Mannitol,Carbohydrates,72,P.copri,0.251
E2,N-Acetyl-D-glucosamine,Carbohydrates,72,P.copri,0.248
F2,D-Glucosaminic acid,Carboxylic acids,72,P.copri,0.236
G2,Glucose-1-Phosphate,Carbohydrates,72,P.copri,0.278
H2,Alpha-Glycerol-Phosphate,Carbohydrates,72,P.copri,0.266
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,72,P.copri,0.265
B3,D-Galacturonic acid,Carboxylic acids,72,P.copri,0.265
C3,2-Hydroxybenzoic Acid,Phenolic acids,72,P.copri,0.288
D3,4-Hydroxybenzoic acid,Phenolic acids,72,P.copri,0.278
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,72,P.copri,0.279
F3,Itaconic acid,Carboxylic acids,72,P.copri,0.281
G3,Alpha-Ketobutyric acid,Carboxylic acids,72,P.copri,0.265
H3,D-Malic acid,Carboxylic acids,72,P.copri,0.364
A4,L-Arginine,Amino acids,72,P.copri,0.21
B4,L-Asparagine,Amino acids,72,P.copri,0.245
C4,L-Phenylalanine,Amino acids,72,P.copri,0.269
D4,L-Serine,Amino acids,72,P.copri,0.262
E4,L-Threonine,Amino acids,72,P.copri,0.264
F4,Glycyl-L-glutamic Acid,Amino acids,72,P.copri,0.278
G4,Phenethylamine,Amines,72,P.copri,0.276
H4,Putrescine,Amines,72,P.copri,0.282
A5,Water,Water,72,P.copri,0.249
B5,Methyl pyruvate,Carboxylic acids,72,P.copri,0.306
C5,Tween 40,Polymers,72,P.copri,0.266
D5,Tween 80,Polymers,72,P.copri,0.239
E5,Alpha-Cyclodextrin,Polymers,72,P.copri,0.298
F5,Glycogen,Polymers,72,P.copri,0.289
G5,D-Cellobiose,Carbohydrates,72,P.copri,0.336
H5,Alpha-D-Lactose,Carbohydrates,72,P.copri,0.386
A6,Beta-Methyl-D-Glucoside,Carbohydrates,72,P.copri,0.234
B6,D-Xylose,Carbohydrates,72,P.copri,0.395
C6,I-Erythritol,Carbohydrates,72,P.copri,0.238
D6,D-Mannitol,Carbohydrates,72,P.copri,0.248
E6,N-Acetyl-D-glucosamine,Carbohydrates,72,P.copri,0.292
F6,D-Glucosaminic acid,Carboxylic acids,72,P.copri,0.273
G6,Glucose-1-Phosphate,Carbohydrates,72,P.copri,0.288
H6,Alpha-Glycerol-Phosphate,Carbohydrates,72,P.copri,0.255
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,72,P.copri,0.237
B7,D-Galacturonic acid,Carboxylic acids,72,P.copri,0.254
C7,2-Hydroxybenzoic Acid,Phenolic acids,72,P.copri,0.267
D7,4-Hydroxybenzoic acid,Phenolic acids,72,P.copri,0.252
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,72,P.copri,0.278
F7,Itaconic acid,Carboxylic acids,72,P.copri,0.279
G7,Alpha-Ketobutyric acid,Carboxylic acids,72,P.copri,0.284
H7,D-Malic acid,Carboxylic acids,72,P.copri,0.336
A8,L-Arginine,Amino acids,72,P.copri,0.285
B8,L-Asparagine,Amino acids,72,P.copri,0.228
C8,L-Phenylalanine,Amino acids,72,P.copri,0.251
D8,L-Serine,Amino acids,72,P.copri,0.254
E8,L-Threonine,Amino acids,72,P.copri,0.256
F8,Glycyl-L-glutamic Acid,Amino acids,72,P.copri,0.278
G8,Phenethylamine,Amines,72,P.copri,0.278
H8,Putrescine,Amines,72,P.copri,0.272
A9,Water,Water,72,P.copri,0.258
B9,Methyl pyruvate,Carboxylic acids,72,P.copri,0.309
C9,Tween 40,Polymers,72,P.copri,0.277
D9,Tween 80,Polymers,72,P.copri,0.24
E9,Alpha-Cyclodextrin,Polymers,72,P.copri,0.293
F9,Glycogen,Polymers,72,P.copri,0.299
G9,D-Cellobiose,Carbohydrates,72,P.copri,0.324
H9,Alpha-D-Lactose,Carbohydrates,72,P.copri,0.426
A10,Beta-Methyl-D-Glucoside,Carbohydrates,72,P.copri,0.245
B10,D-Xylose,Carbohydrates,72,P.copri,0.363
C10,I-Erythritol,Carbohydrates,72,P.copri,0.253
D10,D-Mannitol,Carbohydrates,72,P.copri,0.269
E10,N-Acetyl-D-glucosamine,Carbohydrates,72,P.copri,0.273
F10,D-Glucosaminic acid,Carboxylic acids,72,P.copri,0.276
G10,Glucose-1-Phosphate,Carbohydrates,72,P.copri,0.29
H10,Alpha-Glycerol-Phosphate,Carbohydrates,72,P.copri,0.272
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,72,P.copri,0.26
B11,D-Galacturonic acid,Carboxylic acids,72,P.copri,0.289
C11,2-Hydroxybenzoic Acid,Phenolic acids,72,P.copri,0.281
D11,4-Hydroxybenzoic acid,Phenolic acids,72,P.copri,0.268
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,72,P.copri,0.271
F11,Itaconic acid,Carboxylic acids,72,P.copri,0.285
G11,Alpha-Ketobutyric acid,Carboxylic acids,72,P.copri,0.289
H11,D-Malic acid,Carboxylic acids,72,P.copri,0.367
A12,L-Arginine,Amino acids,72,P.copri,0.292
B12,L-Asparagine,Amino acids,72,P.copri,0.245
C12,L-Phenylalanine,Amino acids,72,P.copri,0.247
D12,L-Serine,Amino acids,72,P.copri,0.246
E12,L-Threonine,Amino acids,72,P.copri,0.239
F12,Glycyl-L-glutamic Acid,Amino acids,72,P.copri,0.246
G12,Phenethylamine,Amines,72,P.copri,0.257
H12,Putrescine,Amines,72,P.copri,0.3
A1,Water,Water,0,B. ovatus,0.252
B1,Methyl pyruvate,Carboxylic acids,0,B. ovatus,0.268
C1,Tween 40,Polymers,0,B. ovatus,0.267
D1,Tween 80,Polymers,0,B. ovatus,0.286
E1,Alpha-Cyclodextrin,Polymers,0,B. ovatus,0.264
F1,Glycogen,Polymers,0,B. ovatus,0.245
G1,D-Cellobiose,Carbohydrates,0,B. ovatus,0.254
H1,Alpha-D-Lactose,Carbohydrates,0,B. ovatus,0.265
A2,Beta-Methyl-D-Glucoside,Carbohydrates,0,B. ovatus,0.247
B2,D-Xylose,Carbohydrates,0,B. ovatus,0.31
C2,I-Erythritol,Carbohydrates,0,B. ovatus,0.243
D2,D-Mannitol,Carbohydrates,0,B. ovatus,0.249
E2,N-Acetyl-D-glucosamine,Carbohydrates,0,B. ovatus,0.244
F2,D-Glucosaminic acid,Carboxylic acids,0,B. ovatus,0.245
G2,Glucose-1-Phosphate,Carbohydrates,0,B. ovatus,0.257
H2,Alpha-Glycerol-Phosphate,Carbohydrates,0,B. ovatus,0.255
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,0,B. ovatus,0.254
B3,D-Galacturonic acid,Carboxylic acids,0,B. ovatus,0.259
C3,2-Hydroxybenzoic Acid,Phenolic acids,0,B. ovatus,0.259
D3,4-Hydroxybenzoic acid,Phenolic acids,0,B. ovatus,0.258
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,0,B. ovatus,0.264
F3,Itaconic acid,Carboxylic acids,0,B. ovatus,0.26
G3,Alpha-Ketobutyric acid,Carboxylic acids,0,B. ovatus,0.272
H3,D-Malic acid,Carboxylic acids,0,B. ovatus,0.294
A4,L-Arginine,Amino acids,0,B. ovatus,0.249
B4,L-Asparagine,Amino acids,0,B. ovatus,0.25
C4,L-Phenylalanine,Amino acids,0,B. ovatus,0.266
D4,L-Serine,Amino acids,0,B. ovatus,0.262
E4,L-Threonine,Amino acids,0,B. ovatus,0.262
F4,Glycyl-L-glutamic Acid,Amino acids,0,B. ovatus,0.262
G4,Phenethylamine,Amines,0,B. ovatus,0.261
H4,Putrescine,Amines,0,B. ovatus,0.266
A5,Water,Water,0,B. ovatus,0.252
B5,Methyl pyruvate,Carboxylic acids,0,B. ovatus,0.276
C5,Tween 40,Polymers,0,B. ovatus,0.257
D5,Tween 80,Polymers,0,B. ovatus,0.267
E5,Alpha-Cyclodextrin,Polymers,0,B. ovatus,0.268
F5,Glycogen,Polymers,0,B. ovatus,0.254
G5,D-Cellobiose,Carbohydrates,0,B. ovatus,0.263
H5,Alpha-D-Lactose,Carbohydrates,0,B. ovatus,0.265
A6,Beta-Methyl-D-Glucoside,Carbohydrates,0,B. ovatus,0.257
B6,D-Xylose,Carbohydrates,0,B. ovatus,0.323
C6,I-Erythritol,Carbohydrates,0,B. ovatus,0.253
D6,D-Mannitol,Carbohydrates,0,B. ovatus,0.261
E6,N-Acetyl-D-glucosamine,Carbohydrates,0,B. ovatus,0.26
F6,D-Glucosaminic acid,Carboxylic acids,0,B. ovatus,0.254
G6,Glucose-1-Phosphate,Carbohydrates,0,B. ovatus,0.265
H6,Alpha-Glycerol-Phosphate,Carbohydrates,0,B. ovatus,0.255
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,0,B. ovatus,0.265
B7,D-Galacturonic acid,Carboxylic acids,0,B. ovatus,0.254
C7,2-Hydroxybenzoic Acid,Phenolic acids,0,B. ovatus,0.269
D7,4-Hydroxybenzoic acid,Phenolic acids,0,B. ovatus,0.269
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,0,B. ovatus,0.264
F7,Itaconic acid,Carboxylic acids,0,B. ovatus,0.257
G7,Alpha-Ketobutyric acid,Carboxylic acids,0,B. ovatus,0.267
H7,D-Malic acid,Carboxylic acids,0,B. ovatus,0.259
A8,L-Arginine,Amino acids,0,B. ovatus,0.253
B8,L-Asparagine,Amino acids,0,B. ovatus,0.251
C8,L-Phenylalanine,Amino acids,0,B. ovatus,0.259
D8,L-Serine,Amino acids,0,B. ovatus,0.255
E8,L-Threonine,Amino acids,0,B. ovatus,0.255
F8,Glycyl-L-glutamic Acid,Amino acids,0,B. ovatus,0.265
G8,Phenethylamine,Amines,0,B. ovatus,0.257
H8,Putrescine,Amines,0,B. ovatus,0.255
A9,Water,Water,0,B. ovatus,0.271
B9,Methyl pyruvate,Carboxylic acids,0,B. ovatus,0.291
C9,Tween 40,Polymers,0,B. ovatus,0.261
D9,Tween 80,Polymers,0,B. ovatus,0.269
E9,Alpha-Cyclodextrin,Polymers,0,B. ovatus,0.273
F9,Glycogen,Polymers,0,B. ovatus,0.265
G9,D-Cellobiose,Carbohydrates,0,B. ovatus,0.269
H9,Alpha-D-Lactose,Carbohydrates,0,B. ovatus,0.27
A10,Beta-Methyl-D-Glucoside,Carbohydrates,0,B. ovatus,0.252
B10,D-Xylose,Carbohydrates,0,B. ovatus,0.313
C10,I-Erythritol,Carbohydrates,0,B. ovatus,0.248
D10,D-Mannitol,Carbohydrates,0,B. ovatus,0.25
E10,N-Acetyl-D-glucosamine,Carbohydrates,0,B. ovatus,0.254
F10,D-Glucosaminic acid,Carboxylic acids,0,B. ovatus,0.258
G10,Glucose-1-Phosphate,Carbohydrates,0,B. ovatus,0.259
H10,Alpha-Glycerol-Phosphate,Carbohydrates,0,B. ovatus,0.262
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,0,B. ovatus,0.272
B11,D-Galacturonic acid,Carboxylic acids,0,B. ovatus,0.262
C11,2-Hydroxybenzoic Acid,Phenolic acids,0,B. ovatus,0.269
D11,4-Hydroxybenzoic acid,Phenolic acids,0,B. ovatus,0.269
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,0,B. ovatus,0.262
F11,Itaconic acid,Carboxylic acids,0,B. ovatus,0.263
G11,Alpha-Ketobutyric acid,Carboxylic acids,0,B. ovatus,0.269
H11,D-Malic acid,Carboxylic acids,0,B. ovatus,0.261
A12,L-Arginine,Amino acids,0,B. ovatus,0.244
B12,L-Asparagine,Amino acids,0,B. ovatus,0.245
C12,L-Phenylalanine,Amino acids,0,B. ovatus,0.253
D12,L-Serine,Amino acids,0,B. ovatus,0.252
E12,L-Threonine,Amino acids,0,B. ovatus,0.253
F12,Glycyl-L-glutamic Acid,Amino acids,0,B. ovatus,0.255
G12,Phenethylamine,Amines,0,B. ovatus,0.258
H12,Putrescine,Amines,0,B. ovatus,0.263
A1,Water,Water,12,B. ovatus,0.181
B1,Methyl pyruvate,Carboxylic acids,12,B. ovatus,0.864
C1,Tween 40,Polymers,12,B. ovatus,0.192
D1,Tween 80,Polymers,12,B. ovatus,0.187
E1,Alpha-Cyclodextrin,Polymers,12,B. ovatus,0.297
F1,Glycogen,Polymers,12,B. ovatus,0.215
G1,D-Cellobiose,Carbohydrates,12,B. ovatus,0.551
H1,Alpha-D-Lactose,Carbohydrates,12,B. ovatus,0.874
A2,Beta-Methyl-D-Glucoside,Carbohydrates,12,B. ovatus,0.214
B2,D-Xylose,Carbohydrates,12,B. ovatus,0.457
C2,I-Erythritol,Carbohydrates,12,B. ovatus,0.206
D2,D-Mannitol,Carbohydrates,12,B. ovatus,0.207
E2,N-Acetyl-D-glucosamine,Carbohydrates,12,B. ovatus,0.22
F2,D-Glucosaminic acid,Carboxylic acids,12,B. ovatus,0.207
G2,Glucose-1-Phosphate,Carbohydrates,12,B. ovatus,0.628
H2,Alpha-Glycerol-Phosphate,Carbohydrates,12,B. ovatus,0.193
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,12,B. ovatus,0.215
B3,D-Galacturonic acid,Carboxylic acids,12,B. ovatus,0.232
C3,2-Hydroxybenzoic Acid,Phenolic acids,12,B. ovatus,0.23
D3,4-Hydroxybenzoic acid,Phenolic acids,12,B. ovatus,0.233
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,12,B. ovatus,0.237
F3,Itaconic acid,Carboxylic acids,12,B. ovatus,0.239
G3,Alpha-Ketobutyric acid,Carboxylic acids,12,B. ovatus,0.924
H3,D-Malic acid,Carboxylic acids,12,B. ovatus,0.24
A4,L-Arginine,Amino acids,12,B. ovatus,0.196
B4,L-Asparagine,Amino acids,12,B. ovatus,0.219
C4,L-Phenylalanine,Amino acids,12,B. ovatus,0.243
D4,L-Serine,Amino acids,12,B. ovatus,0.238
E4,L-Threonine,Amino acids,12,B. ovatus,0.259
F4,Glycyl-L-glutamic Acid,Amino acids,12,B. ovatus,0.292
G4,Phenethylamine,Amines,12,B. ovatus,0.234
H4,Putrescine,Amines,12,B. ovatus,0.234
A5,Water,Water,12,B. ovatus,0.209
B5,Methyl pyruvate,Carboxylic acids,12,B. ovatus,0.9
C5,Tween 40,Polymers,12,B. ovatus,0.181
D5,Tween 80,Polymers,12,B. ovatus,0.202
E5,Alpha-Cyclodextrin,Polymers,12,B. ovatus,0.377
F5,Glycogen,Polymers,12,B. ovatus,0.234
G5,D-Cellobiose,Carbohydrates,12,B. ovatus,0.786
H5,Alpha-D-Lactose,Carbohydrates,12,B. ovatus,0.794
A6,Beta-Methyl-D-Glucoside,Carbohydrates,12,B. ovatus,0.221
B6,D-Xylose,Carbohydrates,12,B. ovatus,0.524
C6,I-Erythritol,Carbohydrates,12,B. ovatus,0.231
D6,D-Mannitol,Carbohydrates,12,B. ovatus,0.238
E6,N-Acetyl-D-glucosamine,Carbohydrates,12,B. ovatus,0.261
F6,D-Glucosaminic acid,Carboxylic acids,12,B. ovatus,0.239
G6,Glucose-1-Phosphate,Carbohydrates,12,B. ovatus,0.715
H6,Alpha-Glycerol-Phosphate,Carbohydrates,12,B. ovatus,0.206
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,12,B. ovatus,0.215
B7,D-Galacturonic acid,Carboxylic acids,12,B. ovatus,0.229
C7,2-Hydroxybenzoic Acid,Phenolic acids,12,B. ovatus,0.24
D7,4-Hydroxybenzoic acid,Phenolic acids,12,B. ovatus,0.245
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,12,B. ovatus,0.239
F7,Itaconic acid,Carboxylic acids,12,B. ovatus,0.236
G7,Alpha-Ketobutyric acid,Carboxylic acids,12,B. ovatus,0.933
H7,D-Malic acid,Carboxylic acids,12,B. ovatus,0.229
A8,L-Arginine,Amino acids,12,B. ovatus,0.205
B8,L-Asparagine,Amino acids,12,B. ovatus,0.217
C8,L-Phenylalanine,Amino acids,12,B. ovatus,0.233
D8,L-Serine,Amino acids,12,B. ovatus,0.238
E8,L-Threonine,Amino acids,12,B. ovatus,0.256
F8,Glycyl-L-glutamic Acid,Amino acids,12,B. ovatus,0.294
G8,Phenethylamine,Amines,12,B. ovatus,0.235
H8,Putrescine,Amines,12,B. ovatus,0.223
A9,Water,Water,12,B. ovatus,0.222
B9,Methyl pyruvate,Carboxylic acids,12,B. ovatus,0.893
C9,Tween 40,Polymers,12,B. ovatus,0.189
D9,Tween 80,Polymers,12,B. ovatus,0.211
E9,Alpha-Cyclodextrin,Polymers,12,B. ovatus,0.396
F9,Glycogen,Polymers,12,B. ovatus,0.246
G9,D-Cellobiose,Carbohydrates,12,B. ovatus,0.792
H9,Alpha-D-Lactose,Carbohydrates,12,B. ovatus,0.82
A10,Beta-Methyl-D-Glucoside,Carbohydrates,12,B. ovatus,0.219
B10,D-Xylose,Carbohydrates,12,B. ovatus,0.533
C10,I-Erythritol,Carbohydrates,12,B. ovatus,0.237
D10,D-Mannitol,Carbohydrates,12,B. ovatus,0.238
E10,N-Acetyl-D-glucosamine,Carbohydrates,12,B. ovatus,0.259
F10,D-Glucosaminic acid,Carboxylic acids,12,B. ovatus,0.245
G10,Glucose-1-Phosphate,Carbohydrates,12,B. ovatus,0.711
H10,Alpha-Glycerol-Phosphate,Carbohydrates,12,B. ovatus,0.227
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,12,B. ovatus,0.21
B11,D-Galacturonic acid,Carboxylic acids,12,B. ovatus,0.232
C11,2-Hydroxybenzoic Acid,Phenolic acids,12,B. ovatus,0.244
D11,4-Hydroxybenzoic acid,Phenolic acids,12,B. ovatus,0.251
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,12,B. ovatus,0.244
F11,Itaconic acid,Carboxylic acids,12,B. ovatus,0.243
G11,Alpha-Ketobutyric acid,Carboxylic acids,12,B. ovatus,0.954
H11,D-Malic acid,Carboxylic acids,12,B. ovatus,0.233
A12,L-Arginine,Amino acids,12,B. ovatus,0.209
B12,L-Asparagine,Amino acids,12,B. ovatus,0.217
C12,L-Phenylalanine,Amino acids,12,B. ovatus,0.233
D12,L-Serine,Amino acids,12,B. ovatus,0.226
E12,L-Threonine,Amino acids,12,B. ovatus,0.255
F12,Glycyl-L-glutamic Acid,Amino acids,12,B. ovatus,0.315
G12,Phenethylamine,Amines,12,B. ovatus,0.241
H12,Putrescine,Amines,12,B. ovatus,0.255
A1,Water,Water,24,B. ovatus,0.25
B1,Methyl pyruvate,Carboxylic acids,24,B. ovatus,0.989
C1,Tween 40,Polymers,24,B. ovatus,0.223
D1,Tween 80,Polymers,24,B. ovatus,0.216
E1,Alpha-Cyclodextrin,Polymers,24,B. ovatus,0.304
F1,Glycogen,Polymers,24,B. ovatus,0.24
G1,D-Cellobiose,Carbohydrates,24,B. ovatus,0.789
H1,Alpha-D-Lactose,Carbohydrates,24,B. ovatus,1.11
A2,Beta-Methyl-D-Glucoside,Carbohydrates,24,B. ovatus,0.257
B2,D-Xylose,Carbohydrates,24,B. ovatus,0.568
C2,I-Erythritol,Carbohydrates,24,B. ovatus,0.25
D2,D-Mannitol,Carbohydrates,24,B. ovatus,0.25
E2,N-Acetyl-D-glucosamine,Carbohydrates,24,B. ovatus,0.271
F2,D-Glucosaminic acid,Carboxylic acids,24,B. ovatus,0.252
G2,Glucose-1-Phosphate,Carbohydrates,24,B. ovatus,0.757
H2,Alpha-Glycerol-Phosphate,Carbohydrates,24,B. ovatus,0.247
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,24,B. ovatus,0.269
B3,D-Galacturonic acid,Carboxylic acids,24,B. ovatus,0.267
C3,2-Hydroxybenzoic Acid,Phenolic acids,24,B. ovatus,0.267
D3,4-Hydroxybenzoic acid,Phenolic acids,24,B. ovatus,0.272
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,24,B. ovatus,0.272
F3,Itaconic acid,Carboxylic acids,24,B. ovatus,0.266
G3,Alpha-Ketobutyric acid,Carboxylic acids,24,B. ovatus,0.832
H3,D-Malic acid,Carboxylic acids,24,B. ovatus,0.274
A4,L-Arginine,Amino acids,24,B. ovatus,0.257
B4,L-Asparagine,Amino acids,24,B. ovatus,0.246
C4,L-Phenylalanine,Amino acids,24,B. ovatus,0.277
D4,L-Serine,Amino acids,24,B. ovatus,0.274
E4,L-Threonine,Amino acids,24,B. ovatus,0.292
F4,Glycyl-L-glutamic Acid,Amino acids,24,B. ovatus,0.303
G4,Phenethylamine,Amines,24,B. ovatus,0.261
H4,Putrescine,Amines,24,B. ovatus,0.269
A5,Water,Water,24,B. ovatus,0.26
B5,Methyl pyruvate,Carboxylic acids,24,B. ovatus,0.979
C5,Tween 40,Polymers,24,B. ovatus,0.208
D5,Tween 80,Polymers,24,B. ovatus,0.232
E5,Alpha-Cyclodextrin,Polymers,24,B. ovatus,0.319
F5,Glycogen,Polymers,24,B. ovatus,0.259
G5,D-Cellobiose,Carbohydrates,24,B. ovatus,0.878
H5,Alpha-D-Lactose,Carbohydrates,24,B. ovatus,1.067
A6,Beta-Methyl-D-Glucoside,Carbohydrates,24,B. ovatus,0.275
B6,D-Xylose,Carbohydrates,24,B. ovatus,0.61
C6,I-Erythritol,Carbohydrates,24,B. ovatus,0.264
D6,D-Mannitol,Carbohydrates,24,B. ovatus,0.272
E6,N-Acetyl-D-glucosamine,Carbohydrates,24,B. ovatus,0.292
F6,D-Glucosaminic acid,Carboxylic acids,24,B. ovatus,0.267
G6,Glucose-1-Phosphate,Carbohydrates,24,B. ovatus,0.822
H6,Alpha-Glycerol-Phosphate,Carbohydrates,24,B. ovatus,0.257
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,24,B. ovatus,0.273
B7,D-Galacturonic acid,Carboxylic acids,24,B. ovatus,0.264
C7,2-Hydroxybenzoic Acid,Phenolic acids,24,B. ovatus,0.274
D7,4-Hydroxybenzoic acid,Phenolic acids,24,B. ovatus,0.276
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,24,B. ovatus,0.269
F7,Itaconic acid,Carboxylic acids,24,B. ovatus,0.252
G7,Alpha-Ketobutyric acid,Carboxylic acids,24,B. ovatus,0.843
H7,D-Malic acid,Carboxylic acids,24,B. ovatus,0.268
A8,L-Arginine,Amino acids,24,B. ovatus,0.257
B8,L-Asparagine,Amino acids,24,B. ovatus,0.247
C8,L-Phenylalanine,Amino acids,24,B. ovatus,0.267
D8,L-Serine,Amino acids,24,B. ovatus,0.266
E8,L-Threonine,Amino acids,24,B. ovatus,0.284
F8,Glycyl-L-glutamic Acid,Amino acids,24,B. ovatus,0.308
G8,Phenethylamine,Amines,24,B. ovatus,0.264
H8,Putrescine,Amines,24,B. ovatus,0.266
A9,Water,Water,24,B. ovatus,0.273
B9,Methyl pyruvate,Carboxylic acids,24,B. ovatus,0.977
C9,Tween 40,Polymers,24,B. ovatus,0.215
D9,Tween 80,Polymers,24,B. ovatus,0.239
E9,Alpha-Cyclodextrin,Polymers,24,B. ovatus,0.332
F9,Glycogen,Polymers,24,B. ovatus,0.271
G9,D-Cellobiose,Carbohydrates,24,B. ovatus,0.898
H9,Alpha-D-Lactose,Carbohydrates,24,B. ovatus,1.098
A10,Beta-Methyl-D-Glucoside,Carbohydrates,24,B. ovatus,0.268
B10,D-Xylose,Carbohydrates,24,B. ovatus,0.62
C10,I-Erythritol,Carbohydrates,24,B. ovatus,0.258
D10,D-Mannitol,Carbohydrates,24,B. ovatus,0.262
E10,N-Acetyl-D-glucosamine,Carbohydrates,24,B. ovatus,0.287
F10,D-Glucosaminic acid,Carboxylic acids,24,B. ovatus,0.272
G10,Glucose-1-Phosphate,Carbohydrates,24,B. ovatus,0.778
H10,Alpha-Glycerol-Phosphate,Carbohydrates,24,B. ovatus,0.26
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,24,B. ovatus,0.27
B11,D-Galacturonic acid,Carboxylic acids,24,B. ovatus,0.269
C11,2-Hydroxybenzoic Acid,Phenolic acids,24,B. ovatus,0.264
D11,4-Hydroxybenzoic acid,Phenolic acids,24,B. ovatus,0.28
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,24,B. ovatus,0.276
F11,Itaconic acid,Carboxylic acids,24,B. ovatus,0.268
G11,Alpha-Ketobutyric acid,Carboxylic acids,24,B. ovatus,0.852
H11,D-Malic acid,Carboxylic acids,24,B. ovatus,0.278
A12,L-Arginine,Amino acids,24,B. ovatus,0.267
B12,L-Asparagine,Amino acids,24,B. ovatus,0.243
C12,L-Phenylalanine,Amino acids,24,B. ovatus,0.27
D12,L-Serine,Amino acids,24,B. ovatus,0.267
